xmin,ymin,xmax,ymax,Object
1103.432619,684.3033969400001,1185.412436,709.2963969400001,Please
1189.58349,684.3033969400001,1289.5582670000001,709.2963969400001,mention
1293.729321,684.3033969400001,1357.5892130000002,709.2963969400001,upon
1361.760267,684.3033969400001,1475.631152,709.2963969400001,payment:
87.047842,734.60042094,156.195142,762.37042094,Page
161.138202,734.60042094,173.16261200000002,762.37042094,:
673.555796,734.60042094,691.772916,762.37042094,1
718.1210920000001,734.60042094,796.5158020000001,762.37042094,Order
801.4588620000001,734.60042094,906.0684520000001,762.37042094,number
911.011512,734.60042094,923.0359220000001,762.37042094,:
928.481619,734.60042094,1039.339459,762.37042094,1040945
1105.5181460000001,734.60042094,1237.897736,762.37042094,Customer
1242.840796,734.60042094,1287.272796,762.37042094,no.
1292.215856,734.60042094,1304.240266,762.37042094,:
1423.176399,734.60042094,1549.474359,762.37042094,13000988
87.047842,770.00717094,185.520262,797.77717094,Invoice
190.463322,770.00717094,250.335442,797.77717094,date
255.27850200000003,770.00717094,267.302912,797.77717094,:
364.808936,770.00717094,480.22105600000003,797.77717094,"Monday,"
485.16411600000004,770.00717094,583.580996,797.77717094,August
588.524056,770.00717094,622.1812960000001,797.77717094,17
627.124356,770.00717094,691.6618360000001,797.77717094,2020
718.1210920000001,770.00717094,776.4380920000001,797.77717094,VAT
781.3811519999999,770.00717094,1066.5318430000002,797.77717094,no.:NL008950441B01
1105.5181460000001,770.00717094,1203.990566,797.77717094,Invoice
1208.9336260000002,770.00717094,1313.543216,797.77717094,number
1318.486276,770.00717094,1330.510686,797.77717094,:
1469.663379,770.00717094,1549.6409790000002,797.77717094,91291
82.88234200000001,818.8934789400001,125.625926,838.3324789400001,Item
353.13998200000003,818.8934789400001,388.32179500000007,838.3324789400001,Qty
399.46311900000006,818.8934789400001,509.17405800000006,838.3324789400001,Description
1171.4996660000002,818.8934789400001,1221.82446,838.3324789400001,Price
1224.4515020000001,818.8934789400001,1257.475586,838.3324789400001,per
1260.102628,818.8934789400001,1298.5113150000002,838.3324789400001,unit
1401.4352660000002,818.8934789400001,1477.6333690000001,838.3324789400001,Amount
1512.0709460000003,818.8934789400001,1553.7259460000002,838.3324789400001,VAT
78.716842,658.01631494,310.229778,730.21831494,Invoice
447.36359200000004,690.30171694,589.101672,715.29471694,4504930082
155.784146,393.81808893999994,273.39565000000005,427.14208893999995,Invoice
279.882722,393.81808893999994,415.98904600000003,427.14208893999995,Address
976.3876460000001,393.81808893999994,1108.82833,427.14208893999995,Delivery
1115.315402,393.81808893999994,1251.421726,427.14208893999995,Address
157.869673,438.84992094,253.231853,466.61992094,Ingram
258.174913,438.84992094,335.014503,466.61992094,Micro
339.957563,438.84992094,390.58227300000004,466.61992094,b.v.
395.52533300000005,438.84992094,577.279983,466.61992094,(Netherlands)
976.3876460000001,438.84992094,1071.749826,466.61992094,Ingram
1076.692886,438.84992094,1153.532476,466.61992094,Micro
1158.4755360000001,438.84992094,1340.230186,466.61992094,[Netherlands]
157.869673,474.25667094,256.31432300000006,502.02667094,Central
261.257383,474.25667094,390.55450300000007,502.02667094,Accounts
395.49756300000007,474.25667094,503.245163,502.02667094,Payable
508.188223,474.25667094,518.685283,502.02667094,/
523.628343,474.25667094,606.632873,502.02667094,EURO
611.5759330000001,474.25667094,753.202933,502.02667094,TRADEvC.
976.3876460000001,474.25667094,1263.140666,502.02667094,Gesworenhoekseweg
1268.083726,474.25667094,1301.740966,502.02667094,11
157.869673,511.74617094,335.042273,539.5161709399999,Tsarigradsko
339.985333,511.74617094,446.17781300000007,539.5161709399999,"shosse,"
451.1208730000001,511.74617094,561.895403,539.5161709399999,building
566.838463,511.74617094,597.3854630000001,539.5161709399999,"D,"
602.328523,511.74617094,629.793053,539.5161709399999,fl.
634.736113,511.74617094,652.953233,539.5161709399999,2
657.896293,511.74617094,739.401243,539.5161709399999,115l-1
976.3876460000001,511.74617094,1081.025006,539.5161709399999,5047TM
157.869673,549.23567094,222.407153,577.00567094,1784
976.3876460000001,549.23567094,1073.277176,577.00567094,Tilburg
157.869673,586.7529409399999,245.51179300000004,614.52294094,SOFIA
976.3876460000001,586.7529409399999,1153.476936,614.52294094,NEDERLAND
157.869673,624.2424409399999,321.101733,652.0124409399999,BULGARIJE
84.96786900000001,860.3596429400002,248.211037,882.5756429400002,NSMONITOR20
405.714146,860.3596429400002,519.5711460000001,882.5756429400002,NEWSTAR
522.970194,860.3596429400002,686.2133620000001,882.5756429400002,NSMONITOR20
689.6124100000001,860.3596429400002,797.293362,882.5756429400002,MONITOR
800.69241,860.3596429400002,886.179578,882.5756429400002,RAISER
1245.90105,860.3596429400002,1304.262482,882.5756429400002,15.80
1394.181742,860.3596429400002,1483.423414,882.5756429400002,"2,528.00"
1515.3144820000002,860.3596429400002,1562.545698,882.5756429400002,21%
341.396049,860.8372869400002,385.86137300000007,885.8302869400003,160
